ID,Topic,Question,class_name,class_id,Combined_Paragraph,Combined_Fact
What725,Lo âu bệnh lý,Lo âu bệnh lý là gì?,anxiety,1,"Lo lắng là hiện tượng phản ứng của con người trước những khó khăn và các mối đe dọa của tự nhiên, xã hội mà con người phải tìm cách vượt qua và tồn tại. Lo lắng là một tín hiệu báo động, báo trước một nguy hiểm sắp xảy đến, cho phép con người sử dụng mọi biện pháp để đương đầu với sự đe dọa. Lo âu bệnh lý là lo âu quá mức hoặc dai dẳng không tương xứng với sự đe dọa được cảm thấy, ảnh hưởng đến hoạt động của người bệnh, có thể kèm theo những ý nghĩ hay hành động có vẻ như quá mức hay vô lý.","Lo âu bệnh lý là lo âu quá mức hoặc dai dẳng không tương xứng với sự đe dọa được cảm thấy, ảnh hưởng đến hoạt động của người bệnh, có thể kèm theo những ý nghĩ hay hành động có vẻ như quá mức hay vô lý."
What728,Trầm cảm sau sinh,- Để khắc phục tình trạng trầm cảm sau sinh cần làm gì ?,depression,3,"Tình trạng trầm cảm sau sinh nếu không được phát hiện và điều trị kịp thời sẽ gây ảnh hưởng nghiêm trọng đến sức khỏe thể chất và tinh thần của mẹ bỉm, đồng thời cũng có khả năng cao gây ra những vụ tự sát, sát hại cả con mình. Vì thế, để có thể khắc phục được căn bệnh này, các mẹ bỉm nên tìm đến các cơ sở y tế chuyên khoa để được thăm khám và chẩn đoán bệnh cụ thể. Từ đó các chuyên gia sẽ đưa ra lời khuyên thích hợp để giúp cải thiện tình trạng này.","Vì thế, để có thể khắc phục được căn bệnh này, các mẹ bỉm nên tìm đến các cơ sở y tế chuyên khoa để được thăm khám và chẩn đoán bệnh cụ thể. Từ đó các chuyên gia sẽ đưa ra lời khuyên thích hợp để giúp cải thiện tình trạng này"
Yes No379,Rối loạn lưỡng cực,"- Các triệu chứng của rối loạn lưỡng cực I của phải là kết quả sinh lý trực tiếp của một chất như lạm dụng ma túy, thuốc không ?",bipolar,2,"C. Rối loạn khí sắc phải đủ nặng để gây suy giảm rõ rệt đến chức năng xã hội hoặc nghề nghiệp, hoặc cần vào viện điều trị để ngăn ngừa làm hại cho bản thân hay những người khác hoặc có triệu chứng loạn thần. D. Các triệu chứng trên không phải là kết quả sinh lý trực tiếp của một chất (như lạm dụng ma túy, một thuốc hặc một điều trịkhác) hay do bệnh lý khác. Lưu ý: Các giai đoạn giống với các giai đoạn hưng cảm rõ ràng là hậu quả của điều trị chống trầm cảm (thuốc, sốc điện ) nhưng tồn tại dai dẳng đầy đủ ở các mức độ ngoài tác dụng sinh lý của điều trị đủ bằng chứng cho chẩn đoán một giai đoạn hưng cảm và phù hợp với chẩn đoán rối loạn cảm xúc lưỡng cực I.Lưu ý: Tiêu chuẩn chẩn đoán từ A-D cấu thành giai đoạn hưng cảm . Ít nhất một lần trong đời có giai đoạn hưng cảm có thể được xem xét chẩn đoán rối loạn cảm xúc lưỡng cực I.","Các triệu chứng trên không phải là kết quả sinh lý trực tiếp của một chất (như lạm dụng ma túy, một thuốc hặc một điều trịkhác) hay do bệnh lý khác."
Which264,Thang đo đánh giá lo âu Zung,Thang đo nào sau đây được dùng để đánh giá rối loạn lo âu?,anxiety,1,"Các loại bài quiz test rối loạn lo âu xã hội phổ biếnThang đo Lo âu Xã hội Liebowitz (LSAS): Là công cụ đánh giá tiêu chuẩn được sử dụng rộng rãi, bao gồm 24 câu hỏi đánh giá mức độ lo âu và né tránh trong các tình huống xã hội cụ thể.Thang Đánh giá Lo âu Zung (Zung-SAS): Gồm 20 câu hỏi đánh giá mức độ lo âu và các triệu chứng liên quan đến SAD.",Thang Đánh giá Lo âu Zung (Zung-SAS): Gồm 20 câu hỏi đánh giá mức độ lo âu và các triệu chứng liên quan đến SAD.
Which265,Trầm cảm,Nguyên nhân gây trầm cảm ở phụ nữ tiền mãn kinh là do đâu ?,depression,3,"Trong một số nghiên cứu đã chỉ ra rằng, phụ nữ bước vào thời kỳ tiền mãn kinh thường sẽ gặp phải các vấn đề về hormone nội tiết tố. Lúc này, hàm lượng estrogen bị thiếu hụt nghiêm trọng và nó được coi là yếu tố then chốt gây ra bệnh lý trầm cảm cao.","Trong một số nghiên cứu đã chỉ ra rằng, phụ nữ bước vào thời kỳ tiền mãn kinh thường sẽ gặp phải các vấn đề về hormone nội tiết tố. Lúc này, hàm lượng estrogen bị thiếu hụt nghiêm trọng và nó được coi là yếu tố then chốt gây ra bệnh lý trầm cảm cao."
Which266,"Trầm cảm, rối loạn cảm xúc",Ảnh hưởng nào không phải của thuốc chống trầm cảm đến chức năng tình dục?,depression,3,"Mức độ nghiêm trọng của các vấn đề trên còn phụ thuộc vào từng cá nhân, từng loại thuốc và liều dùng thuốc cụ thể. Đối với một số người, những ảnh hưởng đến khả năng tình dục là không đáng kể hoặc mất dần khi cơ thể thích nghi với thuốc. Trong nhiều trường hợp, người dùng thuốc lại không thể tránh khỏi các phản ứng phụ này.","Nhiều nam giới còn sử dụng thuốc chống trầm cảm để trị chứng xuất tinh sớm, kéo dài thời gian quan hệ tình dục. Giảm hoặc mất ham muốn tình dục;Mắc phải các vấn đề về cương dương Gặp các vấn đề về cực khoái, hưng phấn và thỏa mãn."
Complex279,Phòng ngừa tự tử,Một bệnh nhân đang dùng một số loại thuốc chống trầm cảm theo chỉ định của bác sĩ nhưng bắt đầu có ý nghĩ tự tử và muốn ngưng sử dụng thuốc mà không tham khảo ý kiến bác sĩ. Bạn nên khuyên bệnh nhân này điều gì?,depression,3,"Tự tử là một phản ứng bi thảm với các tình huống căng thẳng trong cuộc sống và bi thảm hơn nữa vì tự tử có thể được ngăn chặn. Cho dù bạn đang cân nhắc đến việc tự tử hoặc biết ai đó có ý muốn tự sát, hãy học cách nhận biết các dấu hiệu của tự tử và làm thế nào để tiếp cận với sự giúp đỡ ngay lập tức, đồng thời nhận được các phương pháp điều trị chuyên nghiệp. Bạn có thể cứu sống được bản thân hoặc người khác. Đôi khi, các vấn đề trong cuộc sống dường như không có cách nào giải quyết và tự tử là cách duy nhất để chấm dứt cơn đau. Để giúp ngăn chặn các ý nghĩ tự tử, bạn nên: Nói chuyện với một ai đó. Bạn không nên cố gắng tự quản lý cảm xúc tự tử một mình. Nhận được sự giúp đỡ chuyên nghiệp và sự hỗ trợ từ những người thân yêu, điều này có thể giúp bạn dễ dàng vượt qua các thách thức đang gây ra những ý định và hành vi tự tử. Ngoài ra, còn có rất nhiều các tổ chức và các nhóm hỗ trợ có thể giúp bạn đối phó với ý nghĩ tự tử. Đi tái khám đầy đủ. Điều quan trọng là bạn phải tham dự đầy đủ các buổi trị liệu và các cuộc hẹn gặp cho các dịch vụ chăm sóc y tế. Tuân thủ với kế hoạch điều trị là cách tốt nhất để vượt qua ý nghĩ và hành vi tự tử. Để giúp ngăn chặn các ý nghĩ tự tử, bạn cũng nên: Dùng thuốc theo chỉ dẫn. Bạn không bao giờ nên thay đổi liều hoặc ngưng dùng thuốc đang uống trừ khi được sự đồng ý của bác sĩ. Cảm xúc muốn tự tử có thể trở lại nếu bạn đột nhiên ngừng uống thuốc. Nếu bạn gặp các tác dụng phụ tiêu cực từ thuốc đang dùng, hãy nói chuyện với bác sĩ về việc chuyển đổi sang một loại thuốc khác. Từ bỏ việc truy cập và tìm hiểu các phương pháp gây chết người hay các cách tự tử. Vứt bỏ súng, dao hoặc các loại thuốc gây nguy hiểm nếu bạn lo lắng bản thân có thể hành động dựa trên ý nghĩ tự tử.","Cho dù bạn đang cân nhắc đến việc tự tử hoặc biết ai đó có ý muốn tự sát, hãy học cách nhận biết các dấu hiệu của tự tử và làm thế nào để tiếp cận với sự giúp đỡ ngay lập tức, đồng thời nhận được các phương pháp điều trị chuyên nghiệp. Nhận được sự giúp đỡ chuyên nghiệp và sự hỗ trợ từ những người thân yêu, điều này có thể giúp bạn dễ dàng vượt qua các thách thức đang gây ra những ý định và hành vi tự tử. Ngoài ra, còn có rất nhiều các tổ chức và các nhóm hỗ trợ có thể giúp bạn đối phó với ý nghĩ tự tử. Cảm xúc muốn tự tử có thể trở lại nếu bạn đột nhiên ngừng uống thuốc. Nếu bạn gặp các tác dụng phụ tiêu cực từ thuốc đang dùng, hãy nói chuyện với bác sĩ về việc chuyển đổi sang một loại thuốc khác."
Yes No382,Thực phẩm tốt cho người trầm cảm,Trái cây cũng là nguồn cung cấp khoáng chất đúng không,depression,3,"Trái cây cũng là nguồn cung cấp vitamin, khoáng chất và chất chống oxy hóa tốt cho não bộ. Các dưỡng chất trong các loại hoa quả có thể đẩy lùi căng thẳng và giảm mệt mỏi, uể oải rõ rệt. Ngoài ra, trái cây còn mang đến nguồn năng lượng dồi dào giúp nâng cao sức khỏe thể chất, đồng thời giảm thiểu những ảnh hưởng về mặt sức khỏe do trầm cảm gây ra.","Trái cây cũng là nguồn cung cấp vitamin, khoáng chất và chất chống oxy hóa tốt cho não bộ."
What730,Trầm cảm vì thất nghiệp,Một trong những ảnh hưởng nặng nề nhất do thất nghiệp là gì?,depression,3,"Trầm cảm là một trong những ảnh hưởng nặng nề nhất do thất nghiệp. Trầm cảm là vấn đề tâm lý phổ biến bên cạnh stress và rối loạn lo âu. Đây là một dạng rối loạn cảm xúc đặc trưng bởi sự giảm thấp của tâm trạng với biểu hiện chính là chán nản, buồn bã, bi quan, đau khổ sâu sắc, mất hy vọng và giảm hứng thú với những hoạt động xung quanh.",Trầm cảm là một trong những ảnh hưởng nặng nề nhất do thất nghiệp.
What732,Rối loạn lưỡng cực,- Rối loạn lưỡng cực I và rối loạn lưỡng cực II chu kì nhanh giống với rối loạn khí sắc chu kì ở điểm nào ?,bipolar,2,"Chẩn đoán phân biệt:- Rối loạn cảm xúc do một bệnh cơ thể: Chẩn đoán là rối loạn cảm xúc do một bệnh cơ thể, có yếu tố pha trộn khi rối loạn cảm xúc là hậu quả trực tiếp của một bệnh cơ thể thường là bệnh mạn tính (ví dụ: cường giáp). Chẩn đoán này dựa cơ sở trên tiền sử, xét nghiệm cận lâm sàng, khám cơ thể. - Các rối loạn cảm xúc do một chất/do thuốc: Rối loạn cảm xúc do một chất được phân biệt với khí sắc chu kì bởi bệnh nhân có sử dụng một chất (đặc biệt là chất kích thần) là nguyên nhân gây ra rối loạn cảm xúc. - Rối loạn lưỡng cực I và rối loạn lưỡng cực II chu kì nhanh: Cả 2 rối loạn này giống với khí sắc chu kì ở khí sắc không ổn định và bền vững. Theo định nghĩa, trạng thái rối loạn cảm xúc của khí sắc chu kì có cường độ nhẹ nên không thoả mãn toàn bộ các tiêu chuẩn cho một giai đoạn trầm cảm chủ yếu, hưng cảm hoặc hỗn hợp. Trong khi đó rối loạn cảm xúc lưỡng cực I và lưỡng cực II có chu kì nhanh lại thoả mãn đầy đủ các tiêu chuẩn chẩn đoán cho giai đoạn trầm cảm chủ yếu, hưng cảm hoặc hỗn hợp. Nếu như một giai đoạn trầm cảm chủ yếu, hưng cảm hoặc hỗn hợp xuất hiện trong khí sắc chu kì, chẩn đoán sẽ được đặt là rối loạn lưỡng cực I hoặc rối loạn lưỡng cực II. - Rối loạn nhân cách ranh giới: Rối loạn nhân cách thể ranh giới cũng có khí sắc không ổn định có thể bị coi là khí sắc chu kì. Nếu như bệnh nhân thoả mãn các tiêu chuẩn cho cả 2 bệnh, chẩn đoán có thể là cả rối loạn nhân cách thể ranh giới và khí sắc chu kì cùng được đặt ra.",Cả 2 rối loạn này giống với khí sắc chu kì ở khí sắc không ổn định và bền vững.
Complex282,Rối loạn mất ngủ,"Sarah Miller là một phụ nữ 28 tuổi thường xuyên bị mất ngủ ngay sau khi cô trải qua một sự kiện vô cùng căng thẳng trong cuộc sống - mất việc đột ngột do công ty tái cấu trúc. Sự bất định và lo lắng mà cô cảm thấy về tương lai của mình, kết hợp với những lo lắng về tài chính và sự gián đoạn trong thói quen hàng ngày, đã khiến mức độ căng thẳng của cô tăng đáng kể.Kết quả là, Sarah bắt đầu gặp khó khăn khi đi vào giấc ngủ vào ban đêm, thường xuyên nằm thao thức hàng giờ, tâm trí cô quay cuồng với những suy nghĩ về hoàn cảnh của mình. Khi cô cố gắng ngủ, cô thường xuyên thức dậy vào ban đêm, không thể quay lại giấc ngủ ngon. Mẫu giấc ngủ rời rạc và kém chất lượng này khiến Sarah cảm thấy kiệt sức, cáu kỉnh và không thể hoạt động tốt nhất vào ban ngày. Cô đã phải vật lộn để duy trì sự tập trung và năng suất làm việc, và tâm trạng của cô ngày càng trở nên bất ổn, thường xuyên bị lo lắng và trầm cảm. Việc thiếu ngủ cũng ảnh hưởng đến sức khỏe thể chất của cô, dẫn đến hệ thống miễn dịch suy yếu và tăng nguy cơ mắc các vấn đề sức khỏe khác.Cô thấy khó tham gia vào các hoạt động xã hội hoặc duy trì các mối quan hệ có ý nghĩa với bạn bè và các thành viên trong gia đình, vì cô thường quá mệt mỏi hoặc bận tâm đến những khó khăn về giấc ngủ của mình để có thể hiện diện hoàn toàn. Vậy cô gặp vấn đề gì?",depression,3,"Theo DSM-5, rối loạn mất ngủ được đặc trưng bởi các triệu chứng sau:1. Khó khăn trong việc bắt đầu hoặc duy trì giấc ngủ, hoặc cả hai, dẫn đến giấc ngủ không ngon giấc.2. Các triệu chứng trên xảy ra ít nhất 3 đêm một tuần trong vòng ít nhất 3 tháng.3. Các triệu chứng trên xảy ra ngay cả khi có cơ hội ngủ đủ giấc.4. Các triệu chứng trên gây ra sự khó chịu đáng kể hoặc suy giảm chức năng xã hội, nghề nghiệp hoặc các lĩnh vực quan trọng khác của cuộc sống.5. Các triệu chứng trên không phải là kết quả trực tiếp của việc sử dụng hoặc cai nghiện chất kích thích hoặc một tình trạng y tế khác.6. Các triệu chứng trên không được giải thích tốt hơn bởi một rối loạn giấc ngủ khác. Rối loạn mất ngủ thành 3 loại chính:- Rối loạn mất ngủ do yếu tố tâm lý: Bao gồm các yếu tố như lo lắng, căng thẳng, trầm cảm, hoặc các vấn đề về tâm lý khác.- Rối loạn mất ngủ do yếu tố sinh lý: Bao gồm các yếu tố như đau đớn, bệnh tật, hoặc các vấn đề về sinh lý khác.- Rối loạn mất ngủ do yếu tố môi trường: Bao gồm các yếu tố như tiếng ồn, ánh sáng, hoặc nhiệt độ không phù hợp.","Theo DSM-5, rối loạn mất ngủ được đặc trưng bởi các triệu chứng sau:1. Khó ngủ hoặc mất ngủ2. Các triệu chứng trên xảy ra ít nhất 3 đêm một tuần trong vòng ít nhất 3 tháng3. Xảy ra ngay cả khi có cơ hội ngủ đủ giấc4. Gây ra sự khó chịu đáng kể5. Không ảnh hưởng bởi chất kích thích hay tình trạng y tế khác6. Không được giải thích tốt hơn bởi một rối loạn giấc ngủ khác Rối loạn mất ngủ thành 3 loại chính:- Rối loạn mất ngủ do yếu tố tâm lý- Rối loạn mất ngủ do yếu tố sinh lý- Rối loạn mất ngủ do yếu tố môi trường"
Yes No388,Hưng cảm,"- Sự xuất hiện của các giai đoạn hưng cảm nhẹ, các giai đoạn trầm cảm chủ yếu có được giải thích tốt hơn bởi rối loạn phân liệt cảm xúc hoặc rối loạn dạng phân liệt không ?",depression,3,"A. Đáp ứng đủ tiêu chuẩn chẩn đoán ít nhất một giai đoạn hưng cảm nhẹ (tiêu chuẩn A-F của tiêu chuẩn chẩn đoán giai đoạn hưng cảm nhẹ ở trên) và ít nhất một giai đoạn trầm cảm chủ yếu ( tiêu chuẩn A-C của tiêu chuẩn chẩn đoán giai đoạn trầm cảm ở trên).B. Chưa bao giờ có một giai đoạn hưng cảm.C. Sự xuất hiện của các giai đoạn hưng cảm nhẹ, các giai đoạn trầm cảm chủ yếu không được giải thích tốt hơn bởi rối loạn phân liệt cảm xúc, TTPL, rối loạn dạng phân liệt, rối loạn hoang tưởng, rối loạn phổ TTPL biệt định hoặc không biệt định hay các rối loạn loạn thần khác.","Sự xuất hiện của các giai đoạn hưng cảm nhẹ, các giai đoạn trầm cảm chủ yếu không được giải thích tốt hơn bởi rối loạn phân liệt cảm xúc, TTPL, rối loạn dạng phân liệt, rối loạn hoang tưởng, rối loạn phổ TTPL biệt định hoặc không biệt định hay các rối loạn loạn thần khác."
Yes No390,Thực phẩm tốt cho người trầm cảm,Socola có chứa caffeine – một chất giúp tăng độ tỉnh táo và tập trung của não bộ đúng không,depression,3,"Tuy nhiên, nên tránh sử dụng socola chứa quá nhiều đường, sữa và ít hàm lượng ca cao. Socola có chứa caffeine – một chất giúp tăng độ tỉnh táo và tập trung của não bộ. Vì vậy, bạn nên tránh ăn quá nhiều socola và hạn chế dùng sau 17:00 để phòng ngừa mất ngủ, ngủ không sâu giấc.","Tuy nhiên, nên tránh sử dụng socola chứa quá nhiều đường, sữa và ít hàm lượng ca cao. Socola có chứa caffeine – một chất giúp tăng độ tỉnh táo và tập trung của não bộ"
Complex285,Liệu pháp nhận thức - hành vi (CBT),"Bệnh nhân Lê Quang, 38 tuổi, mắc chứng trầm cảm, luôn cảm thấy không có động lực và không thể hoàn thành bất kỳ công việc gì. Nhà trị liệu CBT có thể làm gì để giúp Quang thay đổi suy nghĩ này?",depression,3,"Liệu pháp nhận thức – hành vi sẽ giúp người bệnh xác định được những suy nghĩ méo mó khiến người bệnh nặng lòng này. Để rồi từ đó, người bệnh sẽ học cách thách thức, quản lý chúng tốt hơn để phản ứng cảm xúc và hành vi theo chiều hướng tốt cho người bệnh. Một số cách liệu pháp nhận thức – hành vi can thiệp có thể là: Theo dõi suy nghĩ và xem xét chúng. Tạo tình huống gây lo lắng để bạn học cách đối phó. Thực hành giải quyết vấn đề với nhà trị liệu của bạn. Liệu pháp nhận thức hành vi có thể là công cụ rất hữu ích, dù thực hiện đơn lẻ hoặc kết hợp với các liệu pháp khác trong điều trị rối loạn sức khỏe tâm thần. Tuy nhiên, không phải ai dùng liệu pháp này cũng đều có rối loạn về sức khỏe tâm thần. Liệu pháp CBT ngoài mục đích trị liệu tâm lý còn là một công cụ hiệu quả để giúp người mắc rối loạn tâm thần học cách đối diện tốt hơn với tác nhân gây stress trong đời sống hàng ngày. Về cơ bản, liệu pháp nhận thức – hành vi giúp người bệnh xác định, giải quyết và thay đổi những suy nghĩ không hữu ích. Với mục đích là giúp tư duy, hành vi và sức khỏe của người bệnh được cải thiện. Ví dụ, khi người bệnh bị người khác phán xét mình, người bệnh có thể được hướng dẫn để chấp nhận buông bỏ sự kiểm soát đối với hành vi, thái độ của người khác đối với bản thân bạn. Vì người người bệnh kiểm soát tốt nhất chỉ có thể là bạn, không phải mọi người xung quanh.","Liệu pháp nhận thức – hành vi sẽ giúp người bệnh xác định được những suy nghĩ méo mó khiến người bệnh nặng lòng này. Để rồi từ đó, người bệnh sẽ học cách thách thức, quản lý chúng tốt hơn để phản ứng cảm xúc và hành vi theo chiều hướng tốt cho người bệnh. Liệu pháp CBT ngoài mục đích trị liệu tâm lý còn là một công cụ hiệu quả để giúp người mắc rối loạn tâm thần học cách đối diện tốt hơn với tác nhân gây stress trong đời sống hàng ngày. Về cơ bản, liệu pháp nhận thức – hành vi giúp người bệnh xác định, giải quyết và thay đổi những suy nghĩ không hữu ích. Với mục đích là giúp tư duy, hành vi và sức khỏe của người bệnh được cải thiện."
What748,Tập thể dục thể thao,- Các nghiên cứu khoa học đã chứng minh lợi ích gì về việc tập thể dục với người trầm cảm ?,depression,3,"Các nghiên cứu khoa học cũng chứng minh lợi ích của tập thể dục với người bị trầm cảm trong việc gia tăng sự tự tin, xua tan nỗi lo âu, giảm căng thẳng, khả năng cải thiện cảm xúc và hành vi mỗi ngày. Endorphins được tiết ra tại não bộ, tủy sống cùng nhiều cơ quan trong cơ thể khiến tất cả đều trở nên mạnh mẽ và căng tràn sức sống.Tập thể dục giúp cho tim và phổi tăng cường hoạt động nhiều hơn để đảm bảo cung cấp đủ oxy cho cơ thể. Do đó lượng oxy đi lên não và các tế bào cơ cũng nhiều lên để tăng cường chức năng của các cơ quan đang hoạt động trì trệ này. Nhờ vậy cải thiện một số triệu chứng mất tập trung, giảm trí nhớ đồng thời tăng khả năng biểu đạt cảm xúc cho bệnh nhân trầm cảm.","Các nghiên cứu khoa học cũng chứng minh lợi ích của tập thể dục với người bị trầm cảm trong việc gia tăng sự tự tin, xua tan nỗi lo âu, giảm căng thẳng, khả năng cải thiện cảm xúc và hành vi mỗi ngày."
What750,Thực phẩm tốt cho người trầm cảm,gốc tự do được sản sinh trong quá trình gì,depression,3,"Gốc tự do là “thủ phạm” gây ra hàng loạt các bệnh lý mãn tính, bao gồm cả rối loạn trầm cảm. Gốc tự do được sản sinh trong quá trình trao đổi chất và đóng góp không nhỏ vào việc duy trì các hoạt động sống. Tuy nhiên, số lượng gốc tự do tăng lên quá mức gây ra nhiều tác động xấu đối với sức khỏe.",Gốc tự do được sản sinh trong quá trình trao đổi chất và đóng góp không nhỏ vào việc duy trì các hoạt động sống.
How223,Thực phẩm tốt cho người trầm cảm,"Nếu trầm cảm có liên quan đến các bệnh lý nội khoa, rau xanh còn có tác dụng như thế nào",depression,3,"Ngoài ra, rau xanh còn giúp cải thiện hệ tiêu hóa, tăng vị giác, giảm cholesterol trong máu và kiểm soát đường huyết. Nếu trầm cảm có liên quan đến các bệnh lý nội khoa, rau xanh vừa có thể giảm lo âu, mệt mỏi vừa hỗ trợ giúp kiểm soát các bệnh lý toàn thân.","Nếu trầm cảm có liên quan đến các bệnh lý nội khoa, rau xanh vừa có thể giảm lo âu, mệt mỏi vừa hỗ trợ giúp kiểm soát các bệnh lý toàn thân."
Yes No395,Trầm cảm,"- Ở người bị rối loạn trầm cảm chủ yếu, ý nghĩ của cá nhân chạy nhanh hơn có thể được diễn đạt qua lời nói",depression,3,"Thường các ý nghĩ của cá nhân chạy nhanh hơn có thể được diễn đạt qua lời nói (Tiêu chí B4). Thường có tư duy phi tán được thể hiện qua dòng lời nói gia tăng hầu như liên tục, với sự chuyển đột ngột từ chủ đề này sang chủ đề khác. Khi tư duy phi tán là nặng, lời nói có thể trở nên vô tổ chức, không liên quan, và khiến người bệnh khó chịu. Đôi khi suy nghĩ trở nên dồn dập đến mức khó nói ra.",Thường các ý nghĩ của cá nhân chạy nhanh hơn có thể được diễn đạt qua lời nói (Tiêu chí B4)
How224,Rối loạn lo âu,Mối liên quan giữa não bộ và triệu chứng đặc trưng của rối loạn hoảng sợ được mô tả như thế nào?,anxiety,1,Hiện nay các chuyên gia tâm lý vẫn chưa thể xác định cụ thể về nguyên nhân gây ra tình trạng rối loạn hoảng sợ. Tuy nhiên dựa vào các số liệu đã thống kê từ những người bệnh thì các nhà khoa học cũng đã cho biết về mối liên qua giữa não bộ và triệu chứng đặc trưng của rối loạn hoảng sợ. Các chất dẫn truyền thần kinh epinephrin và serotonin cũng là một trong các nguyên nhân chủ yếu hình thành nên chứng bệnh này.,Các chất dẫn truyền thần kinh epinephrin và serotonin cũng là một trong các nguyên nhân chủ yếu hình thành nên chứng bệnh này
Yes No399,Thực phẩm tốt cho người trầm cảm,có phải magie  giữ nhiều vai trò đối với hệ thần kinh trung ương không,depression,3,"Magie là một trong những loại khoáng chất cần thiết đối với sức khỏe. Theo ước tính, khoáng chất này tham gia vào khoảng 300 phản ứng sinh hóa của cơ thể. Ngoài những lợi ích đối với hệ miễn dịch, đường ruột, xương,… magie còn giữ nhiều vai trò đối với hệ thần kinh trung ương.","Ngoài những lợi ích đối với hệ miễn dịch, đường ruột, xương,… magie còn giữ nhiều vai trò đối với hệ thần kinh trung ương."
What770,Rối loạn lưỡng cực,- Các triệu chứng có thể có của người mắc chứng rối loạn lưỡng cực I trong giai đoạn của rối loạn khí sắc và tăng năng lượng hoặc hoạt động của hưng cảm chủ yếu là gì ?,bipolar,2,"A. Năm (hoặc nhiều hơn) các triệu chứng sau, cùng xuất hiện trong thời gian 2 tuần và ít nhất phải có 1 trong 2 triệu chứng chính là (1) khí sắc trầm hoặc (2) mất quan tâm hoặc thích thú.Chú ý: không bao gồm các triệu chứng là hậu quả rõ ràng của bệnh lý cơ thể. 1. Khí sắc trầm cảm biểu hiện phần lớn thời gian trong ngày, hầu như hằng ngày được nhận biết bởi chính người bệnh (ví dụ: cảm thấy buồn, trống rỗng, mất hy vọng) hoặc được quan sát bởi người khác (ví dụ: nhìn thấy người bệnh khóc).Chú ý: ở trẻ em và vị thành niên khí sắc có thể bị kích thích.2. Giảm đáng kể sự quan tâm, thích thú đối với mọi hoạt động diễn ra trong ngày (đượcngười bệnh tự nhận thấy hoặc người khác quan sát thấy)3. Giảm trọng lượng cơ thể khi không ăn kiêng hoặc tăng cân (ví dụ: tăng hơn 5% trọng lượng cơ thể trong 1 tháng) hoặc tăng hoặc giảm cảm giác ngon miệng hầu như hàng ngay. Chú ý: trẻ em là ko đạt được trọng lượng cơ thể cần thiết.4. Mất ngủ hoặc ngủ nhiều hầu như hằng ngày.5. Kích động tâm thần vận động hoặc chậm chạp vận động hầu như hằng ngày (được người khác quan sát thấy không chỉ là người bệnh cảm thấy sự bồn chồn hoặc chậm chạp)6. Mệt mỏi hoặc mất năng lượng hầu như hằng ngày. 7. Cảm giác vô dụng hoặc tội lỗi quá mức (có thể là hoang tưởng) diễn ra hầu như hằng ngày (không chỉ đơn thuần là người bệnh tự trách mình hoặc tự buộc tội về việc bị bệnh).8. Giảm khả năng suy nghĩ hoặc tập trung chú ý hoặc khả năng ra quyết định diễn ra hầu như hằng ngày (người bệnh tự nhận thấy hoặc người khác quan sát thấy).9. Ý nghĩ thường xuyên về cái chết (không phải sợ chết) ý tưởng tự sát tái diễn mà ko có một kế hoạch tự sát cụ thể hoặc có dự định (toan tính) tự sát hoặc có một kế hoạch tự sát để tự sát thành công.","1. Khí sắc trầm cảm biểu hiện phần lớn thời gian trong ngày, hầu như hằng ngày được nhận biết bởi chính người bệnh (ví dụ: cảm thấy buồn, trống rỗng, mất hy vọng) hoặc được quan sát bởi người khác (ví dụ: nhìn thấy người bệnh khóc).Chú ý: ở trẻ em và vị thành niên khí sắc có thể bị kích thích.2. Giảm đáng kể sự quan tâm, thích thú đối với mọi hoạt động diễn ra trong ngày (đượcngười bệnh tự nhận thấy hoặc người khác quan sát thấy)3. Giảm trọng lượng cơ thể khi không ăn kiêng hoặc tăng cân (ví dụ: tăng hơn 5% trọng lượng cơ thể trong 1 tháng) hoặc tăng hoặc giảm cảm giác ngon miệng hầu như hàng ngay. Chú ý: trẻ em là ko đạt được trọng lượng cơ thể cần thiết.4. Mất ngủ hoặc ngủ nhiều hầu như hằng ngày.5. Kích động tâm thần vận động hoặc chậm chạp vận động hầu như hằng ngày (được người khác quan sát thấy không chỉ là người bệnh cảm thấy sự bồn chồn hoặc chậm chạp)6. Mệt mỏi hoặc mất năng lượng hầu như hằng ngày. 7. Cảm giác vô dụng hoặc tội lỗi quá mức (có thể là hoang tưởng) diễn ra hầu như hằng ngày (không chỉ đơn thuần là người bệnh tự trách mình hoặc tự buộc tội về việc bị bệnh).8. Giảm khả năng suy nghĩ hoặc tập trung chú ý hoặc khả năng ra quyết định diễn ra hầu như hằng ngày (người bệnh tự nhận thấy hoặc người khác quan sát thấy).9. Ý nghĩ thường xuyên về cái chết (không phải sợ chết) ý tưởng tự sát tái diễn mà ko có một kế hoạch tự sát cụ thể hoặc có dự định (toan tính) tự sát hoặc có một kế hoạch tự sát để tự sát thành công."
